Fund Manager,Fund Name,Fund Code,Inception Date,Fund Category,Fund Short Name,Subcategory,Fund Objective,Fund Benchmark,Risk Category,Inception Price,Unit Holder,Investment %
ALBILAD Investment Co,Albilad Diversified SAR Fund,14013,05-MAY-21,Money Market Funds - Saudi Riyal Murabaha,Albilad Diversified SAR,Shari'ah Compliant,Al-Bilad Diversified SAR Fund is a multi-asset open-ended public investment fund that complies with the standards of the Sharia Supervisory Committee and is organized according to the laws and regulations of the Capital Market Authority in the Kingdom of Saudi Arabia,SIBOR 3 Months + 100 bps,,0,0,0
ALBILAD Investment Co,Albilad multi assets balanced fund,14014,13-DEC-22,Funds of Funds,Albilad investment Co,Shari'ah Compliant,Balance between capital growth and capital preservation,-,,0,0,0
ALBILAD Investment Co,Albilad Freestyle Saudi Equity Fund,14015,09-FEB-23,Equity Funds - Local,Freestyle Saudi Equity Fund,Shari'ah Compliant,Capital growth,-,,0,0,0
ALBILAD Investment Co,Albilad Sukuk Fund,14016,01-FEB-23,Funds of Funds,Albilad Sukuk Fund,Shari'ah Compliant,Albilad Sukuk Fund is an open-ended fixed-income public investment fund with an actively managed strategy the fund aims to achieve periodical income and capital growth over the medium and long term by investing in local regional and global Sukuk as well as Money Market instruments that are Shariah-complaint.,-,,0,0,0
Audi Capital,Saudi Opportunities Fund,23005,01-JUN-15,Equity Funds - Local,SOF,Shari'ah Compliant,Open ended Fund aims to invest according to the Shariah guidelines and to achieve long term capital appreciation through investing primarily in the equities of the Saudi listed companies of Saudi Tadawul. The Fund will not distribute any dividends to the unit holders and will reinvest the profits and dividend distributions in the Fund.,S&P Saudi Equities Sharia Index,,10,14,0
Audi Capital,Audi Income fund,23008,14-APR-19,Bond/ Debt Funds - International,Audi Income fund,Shari'ah Compliant,Shariah compliant fund that aims to distribute income to its unit holders through investing in local regional,70% S&PMENA Sukuk Index and 30% 1 Month SIBOR.,,0,13,1332586.63
Yaqeen Capital,YAQEEN Saudi Equity Fund,24001,22-APR-07,Equity Funds - Local,YSEF,Shari'ah Compliant,Capital growth over the long term by investing in equity securities listed on the Saudi stock market that are compatible with the norms of Islamic Sharia through the trading Index TASI,TASI,,0,0,0
Yaqeen Capital,YAQEEN SAR Murabaha Fund,24002,02-JUN-07,Money Market Funds - Saudi Riyal Murabaha,SAMF,Shari'ah Compliant,The fund aims to achieve income with providing liquidity and preservation of capital by investing in Murabaha deals,SIBOR 3M,,0,0,0
Yaqeen Capital,YAQEEN IPO Fund,24006,21-JUN-08,Equity Funds - Local,IPO Fund,Shari'ah Compliant,Fund aims to invest in shares of public companies compliant with Sharia during the period of initial public offerings in the primary market and / or in new shares of listed companies which did not take Five years to be included in the Saudi Stock Market or Nomu,Yaqeen IPO fund Index,,0,0,0
Yaqeen Capital,YAQEEN Gold Fund,24016,08-APR-20,Other Funds,YAQEEN Gold Fund,Shari'ah Compliant,YAQEEN Gold Fund is an open-ended public investment fund that is compliant with Sharia standards and invests passively in Gold as the fund seeks to achieve long-term growth and capital gains by tracking the performance of XAU / USD Index (Spot Price of Gold contracts in US Dollars) before fees and charges,XAU / USD Index,,0,0,0
Middle East Financial Investment Company,MEFIC Saudi Riyal Murabaha Fund,26002,03-JAN-11,Money Market Funds - Saudi Riyal Murabaha,MEFIC Murabaha Fund,Shari'ah Compliant,Objective of the Fund to achieve capital increase and the provision of liquidity through investment in low-risk Murabaha based trade transactions that are compliant with Shariah principles. and achieve a return above the benchmark SIBOR 3 months,SIBOR 3 Months,,100,1,0
Middle East Financial Investment Company,MEFIC SAUDI EQUITY FREESTYLE FUND,26006,31-DEC-17,Equity Funds - Local,MEFIC SAUDI EQUITY FREESTYLE FUND,Shari'ah Compliant,MEFIC Freestyle Saudi Equity Fund is an open-ended investment fund which aims to achieve capital growth over the long term through investing primarily in stocks of Shariah compliant companies that are listed on the Saudi Stock Exchange.,S & P Saudi Arabia Shari'ah Index,,100,17,0
Jadwa Investment,Jadwa Saudi Riyal Murabaha Fund - Class B,30001,30-JUN-07,Money Market Funds - Saudi Riyal Murabaha,Murabaha - B,Shari'ah Compliant,To generate competitive market returns from short-term Murabaha based trade transactions that are compliant with Shariah principles. The fund aims to provide capital preservation and easy liquidity to its unit holders,1-month SIBID net of management fee,,100,41,0
Jadwa Investment,Jadwa Saudi Equity Fund - Class B,30003,30-JUN-07,Equity Funds - Local,Saudi Fund,Shari'ah Compliant,To provide long-term capital growth for the Unitholders by investing in Saudi equity market or any other equity markets in accordance with Sharia investment guidelines.,S&P Saudi Sharia Domestic Index,,100,127,0
Jadwa Investment,Jadwa GCC Equity Fund - Class B,30004,30-JUN-07,Equity Funds - GCC,GCC Fund B,Shari'ah Compliant,To generate a long term returns to unit holders by investing in GCC Markets based on Shariah Principles that approved by Shariah Committee,S&P GCC Sharia Composite Index,,100,7,0
Jadwa Investment,Jadwa Arab Markets Equity Fund - Class B,30005,30-JUN-07,Equity Funds - Arabian,Arab Fund B,Shari'ah Compliant,To generate a long term returns to unit holders by investing in Arab Markets / REITs Funds based on Shariah Principles that approved by Shariah Committee,S&P Pan-Arab Sharia Total Return Index,,100,5,0
Jadwa Investment,Jadwa Global Sukuk Fund - Class B,30006,08-OCT-07,Bond/ Debt Funds - International,Jadwa Sukuk B,Shari'ah Compliant,The Fund aims to generate market returns by investing in a diversified portfolio of local regional and global Sukuks based on Shariah principles approved by Shariah Committee,Jadwa IdealRatings Global Sukuk Index (TR),,100,14,1907475.86
Jadwa Investment,Jadwa Saudi Equity Fund - Class A,30016,26-SEP-16,Equity Funds - Local,JSEF-A,Shari'ah Compliant,To provide long-term capital growth for the Unitholders by investing in Saudi equity market or any other equity markets in accordance with Sharia investment guidelines.,S&P Saudi Shariah Index (Total Return),,100,5,0
Jadwa Investment,Jadwa Saudi Equity Fund - Class C,30017,26-SEP-16,Equity Funds - Local,JSEF- C,Shari'ah Compliant,To provide long-term capital growth for the Unitholders by investing in Saudi equity market or any other equity markets in accordance with Sharia investment guidelines.  These  units available only for Jadwa Staff,S&P Saudi Sharia Domestic Index (TR),,100,19,0
Jadwa Investment,Jadwa GCC Equity Fund - Class A,30018,22-MAR-18,Equity Funds - GCC,GCC Class A,Shari'ah Compliant,To generate a long term returns to unit holders by investing in GCC Markets based on Shariah Principles that approved by Shariah Committee,S&P GCC Sharia Composite Index,,100,0,0
Jadwa Investment,Jadwa GCC Equity Fund - Class C,30019,22-MAR-18,Equity Funds - GCC,GCC Class C,Shari'ah Compliant,To generate a long term returns to unit holders by investing in GCC Markets based on Shariah Principles that approved by Shariah Committee. this unit class available for investment only for Jadwa Investment employees,S&P GCC Sharia Composite Total Return Index,,100,0,0
Jadwa Investment,Jadwa Arab Market Equity Fund - Class A,30020,22-MAR-18,Equity Funds - Arabian,Arab Class A,Shari'ah Compliant,To generate a long term returns to unit holders by investing in Arab Markets / REITs Funds based on Shariah Principles that approved by Shariah Committee,S&P Pan-Arab Sharia Total Return Index,,100,0,0
Jadwa Investment,Jadwa Arab Market Equity Fund - Class C,30021,22-MAR-18,Equity Funds - Arabian,Arab Class C,Shari'ah Compliant,To generate a long term returns to unit holders by investing in Arab Markets / REITs Funds based on Shariah Principles that approved by Shariah Committee. This class available for investment only for Jadwa Investment employees,S&P Pan-Arab Sharia Total Return Index,,100,1,0
Jadwa Investment,Jadwa Global Sukuk Fund - Class A,30022,22-MAR-18,Bond/ Debt Funds - International,Sukuk A,Shari'ah Compliant,The Fund aims to generate market returns by investing in a diversified portfolio of local regional and global Sukuks based on Shariah principles approved by Shariah Committee,Jadwa IdealRatings Global Sukuk Index (TR),,100,3,0
Jadwa Investment,Jadwa Global Sukuk Fund - Class C,30023,22-MAR-18,Bond/ Debt Funds - International,Sukuk C,Shari'ah Compliant,The Fund aims to generate market returns by investing in a diversified portfolio of local regional and global Sukuks based on Shariah principles approved by Shariah Committee . This class of units available for investment only for Jadwa Investment employees,Jadwa IdealRatings Global Sukuk Index (TR),,100,4,0
Jadwa Investment,Jadwa Saudi Equity Fund - Class D,30024,30-JUN-07,Equity Funds - Local,JSEF-D,Shari'ah Compliant,To provide long-term capital growth for the Unitholders by investing in Saudi equity market or any other equity markets in accordance with Sharia investment guidelines.,S&P Saudi Sharia Domestic Index(Total return),,10,0,0
Jadwa Investment,Jadwa GCC Equity Fund - Class D,30025,30-JUN-07,Equity Funds - GCC,GCC Fund D,Shari'ah Compliant,To generate a long term returns to unit holders by investing in GCC Markets based on Shariah Principles that approved by Shariah Committee,S&P GCC Sharia Composite Index,,0,0,0
Jadwa Investment,Jadwa Arab Markets Equity Fund - Class D,30026,30-JUN-07,Equity Funds - Arabian,Arab Fund D,Shari'ah Compliant,To generate a long term returns to unit holders by investing in Arab Markets / REITs Funds based on Shariah Principles that approved by Shariah Committee,S&P Pan-Arab Sharia Total Return Index,,10,0,0
Jadwa Investment,Jadwa Global Sukuk Fund - Class D,30027,08-OCT-07,Bond/ Debt Funds - International,Jadwa Sukuk D,Shari'ah Compliant,The Fund aims to generate market returns by investing in a diversified portfolio of local regional and global Sukuks based on Shariah principles approved by Shariah Committee,Jadwa IdealRatings Global Sukuk Index (TR),,10,0,0
Jadwa Investment,Jadwa Saudi Riyal Murabaha Fund - Class A,30028,05-MAR-20,Money Market Funds - Saudi Riyal Murabaha,Murabaha - A,Shari'ah Compliant,To generate competitive market returns from short-term Murabaha based trade transactions that are compliant with Shariah principles. The fund aims to provide capital preservation and easy liquidity to its unit holders,1-month SIBID net of management fee,,100,18,40236620.85
Jadwa Investment,Jadwa Saudi Riyal Murabaha Fund - Class C,30029,05-MAR-20,Money Market Funds - Saudi Riyal Murabaha,Murabaha - C,Shari'ah Compliant,To generate competitive market returns from short-term Murabaha based trade transactions that are compliant with Shariah principles. The fund aims to provide capital preservation and easy liquidity to its unit holders,1-month SIBID net of management fee,,10,1,0
Jadwa Investment,Nafaqah Waqf Fund,30030,20-OCT-20,Funds of Funds,Nafaqah Waqf Fund,Shari'ah Compliant,Enhancing the developmental role of the private endowments in supporting the fund by developing the endowed assets of the fund investing them and protecting them from extinction in a way that achieves the principle of social solidarity and benefits the endowment banks and the suspended asset where the fund manager receives subscription amounts from subscribers (the endowments) and invests them in local and international investment funds  All asset classes aim to achieve growth in the endowment capital and a percentage (50%) of net profits (endowment yield) is distributed periodically to the endowment banks specified for the fund represented by the beneficiary entity,The fund is a weighted criterion for the strategic distribution based on the weight of each asset class based on the strategic distribution of the assets,,10,0,0
ITQAN CAPITAL,ITQAN FUND FOR MURABAHAT AND SUKUK,36001,04-AUG-08,Money Market Funds - Saudi Riyal Murabaha,ITQAN FD MUR AND SUK,Shari'ah Compliant,Diversified Public Fund,SBAID 3 MONTHS,,0,0,0
ITQAN CAPITAL,Itqan Capital Saudi Equity Fund,36002,13-MAY-19,Equity Funds - Local,Itqan Equity Fund,Shari'ah Compliant,An open-ended local equity fund,ideal rating,,0,0,0
Kamco Investment Company,Kamco Saudi Equity Fund Class (A),41001,28-JAN-09,Equity Funds - Local,KSEF - CL A,-,Achieving long-term capital growth with predefined and controlled levels of risk by investing in stocks listed on Saudi Stock exchange,Tadawul All Share Index,,0,0,0
Kamco Investment Company,Kamco Saudi Equity Fund Class (B),41003,28-JAN-21,Equity Funds - Local,KSEF- CL B,-,Achieving long-term capital growth with predefined and controlled levels of risk by investing in stocks listed on the Saudi stock exchange,Tadawul All Share Index,,0,0,0
Alinma Investment Company,Alinma Saudi Equity Fund,45001,01-JAN-11,Equity Funds - Local,Alinma Saudi Equity Fund,Shari'ah Compliant,Capital growth through long-term investment in&#13;Saudi Shariah compliant shares.,Alinma Saudi Islamic Index by Ideal Ratings,,10,180,379999.98
Alinma Investment Company,Alinma Saudi Riyal Liquidity Fund,45002,01-JAN-11,Money Market Funds - Saudi Riyal Murabaha,Alinma Liquidity Fund,Shari'ah Compliant,Protecting capital while achieving rewarding return&#13;through low risk investments like investing in&#13;commodities and metals excluding gold and silver&#13;and investing in Sukuk.,Average SAIBID 1 month,,10,571,170438504.39
Alinma Investment Company,Alinma Multi Assets Balanced Fund,45003,06-APR-13,Multi - Assets Funds,Alinma Balanced Fund,Shari'ah Compliant,The investment objective of the Fund for Development of balanced multi-asset fund's capital is a long-term development of Murabaha transactions in a short to medium-term financial markets and the tools available in the local and Arabic of the stock and the investment market instruments.,Alinma Shariaa Saudi Equity by Ideal Ratings & SAIBOR,,10,91,588042.16
Alinma Investment Company,Alinma IPO Fund,45005,18-MAY-15,Equity Funds - Local,IPO Fund,Shari'ah Compliant,The Fund aims to develop capital over the long term by investing mainly in the initial issuance of Saudi joint stock companies the priority rights and remaining offerings of listed companies shares of companies and investment funds similar to the objectives of the Fund and (REITs) which have not been listed for five years Which is licensed by the Authority as a public offering,IdealRatings,,10,149,0
Alinma Investment Company,Alinma Wareef Endowment Fund,45007,01-NOV-18,Multi - Assets Funds,Wareef Fund,Shari'ah Compliant,The funds strategic focus in healthcare and medical services aiming to enhance the role of private endowments in society by participating in making grants to a non-for-profit organization Wareef. As a way to support the medical field the Fund concentrate in enhancing endowed asset through investments seeking the advancement of social solidarity,,,10,210,0
Alinma Investment Company,Alinma Orphan Care Endowment Fund,45008,21-JUL-19,Multi - Assets Funds,Orphan Fund,Shari'ah Compliant,,,,10,135,0
Alinma Investment Company,Alinma Enayah Endowment Fund,45009,01-OCT-19,Multi - Assets Funds,Alinma Enayah Endowment Fund,Shari'ah Compliant,,,,10,58,0
Alinma Investment Company,Alinma Roads Mosques Endowment Fund,45010,14-JAN-20,Multi - Assets Funds,Alinma Roads Mosques Endowment Fund,Shari'ah Compliant,To enhance the developmental role of the endowments in supporting the care of road mosques by growing and investing the endowment assets of the fund and a percentage of the realized returns ( Ghullah Waqf ) are distributed annually to the endowment expenses specified for the fund represented in the care of roads mosques through the charitable organization which is the Association for the Care of Roads Mosques.,Benchmark Basket made of the index of the Shariah-compliant stocks which is 25% of the index the real estate traded funds index which represents 10% of the index and the rate of return for dealing between Saudi banks for three months which is 65% of the index.,,0,0,0
Alinma Investment Company,Bir Ariyadh Waqf Fund,45011,18-OCT-20,Multi - Assets Funds,Bir Ariyadh Waqf Fund,Shari'ah Compliant,The fund aims to assist the beneficiary in enhancing the developmental role of private endowments.,25% of the Alinma Saudi stock index which is compatible with legal legislation against a legal reference by Edinburgh. 10% of the Saudi real estate traded funds index. 65% rate of return for transactions between Saudi banks for a period of three months,,0,0,0
Alinma Investment Company,Alinma Diversified Saudi Riyal Fund,45012,08-JUN-03,Money Market Funds - Local,Alinma Diversified Saudi Riyal Fund,Shari'ah Compliant,It is a public open ended mutual fund investing into debt instruments money markets and other asset classes  that are Shariah compliance.,The rate of returns between banks on the Saudi Riyal (SAIBOR) for 6 months issued by the Saudi Central Bank. However The funds performance will not be linked to any indicator and the index can be used as a reference to compare with the funds performance.,,0,0,0
Alinma Investment Company,Alinma Emerging Markets Fund,45013,14-OCT-23,Equity Funds - International/ Global,Alinma Emerging Markets Fund,Shari'ah Compliant,An open-ended general investment index fund compatible with the funds Sharia standards that aims to achieve long-term capital growth by investing in global emerging market stocks.,The customized FTSE Alinma Islamic Emerging Markets Index compatible with the Funds Sharia Supervisory Committee Supplied by FTSE,,0,0,0
Morgan Stanley Saudi Arabia,Morgan Stanley Saudi Equity Fund,46786,06-JAN-09,Equity Funds - Local,MS Saudi Equity Fund,-,to offer long term capital appreciation and growth through investment principally in shares listed on the main market of the Saudi Stock Exchange and in shares offered in the course of an initial public offering in the Kingdom of Saudi Arabia,Tadawul All Share Index (TASI),,0,0,0
Tharwat for Financial Securities,Tharwat Saudi Equity Fund,49001,10-JAN-16,Equity Funds - Local,Tharwat Saudi Equity,-,The fund aims to achieve long term capital growth through investing in saudi equities and IPOs in the Saudi stock market,,,0,0,0
Al-Khair Capital Saudi Arabia,Alkhair Capital Saudi Equity Fund,56001,24-SEP-13,Equity Funds - Local,Alkhair Saudi Equity,Shari'ah Compliant,to offer a medium to long term capital appreciation through investment principally in Shariah compliant securities already listed on the Saudi Stock Exchange and to be offered in the course of an initial public offering in the Kingdom of Saudi Arabia and in addition the Fund may also invest in Shariah compliant cash equivalents in accordance with the Funds Term and Conditions.,S&P Saudi Arabia Shariah Index,,10,4,0
Al-Khair Capital Saudi Arabia,Al-khair Capital Murabaha Fund Saudi Riyal,56002,27-APR-14,Money Market Funds - Saudi Riyal Murabaha,Al-khair Murabaha SAR Fund,Shari'ah Compliant,The objects of fund to provide liquidity at the request of the investor and maintain capital and by investing in the money market instruments compliant with the standards of legitimacy for the ACSA. This fund seeks to achieve positive returns through investment in money market instruments.,SAIBOR,,10,5,0
Al-Khair Capital Saudi Arabia,Al-Khair Capital Sukuk Plus Fund,56003,01-JUN-14,Bond/ Debt Funds - International,Al-Khair Sukuk Fund,Shari'ah Compliant,The Funds investment objective is to provide a medium to long term capital appreciation and income distribution returns by investing in a portfolio of Shariah compliant income producing investments and securitieshttp://www.alkhaircapital.com.sa/index.php/fund-2,Libor 3 month,,100,2,1027175.908
Al-Khair Capital Saudi Arabia,Al-khair Capital IPOs Fund,56004,13-MAY-15,Other Funds,Al-khair IPOs Fund,Shari'ah Compliant,The fund objective is to invest its assets in the shares of joint stock companies through The period of initial public offerings in the primary market or in shares of companies New listed which has been three years included in the markets Secondary in Saudi Arabia and the Gulf Cooperation Council countries and Middle East and North Africa region.,Alkhair Capital MENA IPO Shariah Index,,10,38,0
Osool and Bakheet Investment Company,Osool and Bakheet Saudi Trading Equity Fund,101001,06-MAY-07,Equity Funds - Local,OBIC-STEF,Shari'ah Compliant,The Fund main objective is to maximize the capital growth through achieving positive returns (versus its benchmark the (S&P Saudi Arabia Sharia Index)) while minimizing potential risks.,Standard and Poor Saudi Arabia Shariah Index,,1,62,0
Osool and Bakheet Investment Company,Osool and Bakheet IPO Fund,101002,15-MAR-08,Equity Funds - Local,OBIC - IPO,-,The Fund main objective is to maximize capital growth through achieving relative positive returns versus Osool and Bakheet Saudi IPO index or a similar index while minimizing potential risks.,Osool and Bakheet Saudi IPO Index,,1,155,0
Osool and Bakheet Investment Company,Osool & Bakheet IPO Trading Fund Sharia Compliant,101004,16-DEC-15,Equity Funds - Local,OBIC Trading Fund Sharia Compliant,Shari'ah Compliant,The Fund is primarily designed to maximize capital growth through achieving relative positive returns against the benchmark (OBIC IPO Trading sharia compliant Index) while minimizing potential risks.,OBIC IPO Trading Sharia Compliant Index,,1,17,0
Osool and Bakheet Investment Company,Osool & Bakheet Parallel Market Equity Trading Fund,101005,05-APR-17,Equity Funds - Local,OBIC Parallel Fund,Shari'ah Compliant,The fund main objective is to maximize capital through growing up the capital via achieving an absolute return in the long term.,Parallel Market - Nomu index,,1,46,0
KSB Capital Company,KASB IPO FUND,102004,25-JUN-08,Equity Funds - Local,ALMUKTATB,Shari'ah Compliant,-3.79,11.05,,0,0,0
KSB Capital Company,KASB Money Market Fund,102005,15-DEC-08,Money Market Funds - Local,Money Market,Shari'ah Compliant,Capital preservation,SAIBOR,,0,0,0
KSB Capital Company,KSB City Fund,102006,16-AUG-11,Real Estate Funds,KSB City,Shari'ah Compliant,Achieve Superior returns from the renting and the selling of this compound.,Valuation Price,,10,0,0
KSB Capital Company,KSB Real Estate Opportunity Fund,102008,07-JAN-12,Real Estate Funds,FURAS FUND,Shari'ah Compliant,Take Advantage of Investment Opportunities in the Kingdom of Saudi Arabia,Valuation Price,,10,0,0
KSB Capital Company,KSB Dividend Fund,102009,20-FEB-14,Equity Funds - Local,KSB Dividend Fund,Shari'ah Compliant,3.537,7.58,,0,0,0
KSB Capital Company,KASB Freestyle Saudi Equity Fund,102010,16-NOV-15,Equity Funds - Local,KASB Freestyle Fund,Shari'ah Compliant,0.598,25.46,,0,0,0
Alawwal Capital Company,Alawwal Saudi Riyal Murabaha,104001,16-APR-09,Money Market Funds - Saudi Riyal Murabaha,ALAWWAL SA MUR,Shari'ah Compliant,To allow the Fund's participants to participate collectively in the net assets and revenues of the Fund by investing its assets in short to medium term operations,,,0,0,0
Alawwal Capital Company,Alawwal Saudi Equity Fund,104002,01-SEP-09,Equity Funds - Local,ALAWWL SA STK,Shari'ah Compliant,To provide long-term capital appreciation and growth. The Fund invests in listed equity securities that comply with Shariah-guidelines and form part of tadawul all share index,,,0,0,0
Alawwal Capital Company,Alawwal Periodical Income Fund,104004,10-MAR-12,Equity Funds - Local,Per incom,Shari'ah Compliant,to give the shareholders in the fund semiannual income through Investing the funds capital in the Saudi listed equities which are compliant to the Islamic Shari and which are able to distribute a stable growing and regular cash dividends,,,0,0,0
Derayah Financial Co,Derayah FreeStyle Saudi Equity fund,133005,29-MAR-16,Equity Funds - Local,FreeStyle Saudi Equity fund,Shari'ah Compliant,The Saudi market freestyle fund is an open-ended fund that invests in Saudi stocks. The investment goal is long-term capital gain by investing in Tadawul NOMU Right Issues and Initial Public Offerings (IPO) in Saudi Arabia. Moreover the fund has the ability to invest in the global markets.,S&P Saudi Arabia Shariah TR Index.,,0,0,0
Derayah Financial Co,Derayah GCC Growth and Income Equity Fund,133006,04-APR-21,Equity Funds - GCC,Derayah GCC Growth and Income Equity,Shari'ah Compliant,The fund aims to develop long-term capital and distribute cash dividends periodically from,S&P GCC Shariah Dividend Index,,0,0,0
Derayah Financial Co,Derayah Saudi equities Fund,133007,26-OCT-23,Equity Funds - Local,Derayah Saudi equities Fund,Shari'ah Compliant,The fund aims to develop long-term capital,Shariah Arabia Saudi P&S,,0,0,0
Bait Al Mal Al Khaleeji,BMK Saudi Equity Fund,135001,07-MAY-14,Equity Funds - Local,BMK Saudi Equity,-,Fund Manager seeks to achieve capital growth by investing is shares listed on the Saudi Stock Market,TASI,,0,0,0
Bait Al Mal Al Khaleeji,BMK IPO Fund,135002,29-OCT-14,Equity Funds - Local,BMK IPO Fund,-,The Fund objective is to achieve capital appreciation by investing primarily in IPOs and newly listed companies in the Saudi Stock market during their first five years of listing,S&P BMK IPO Index,,0,0,0
Bait Al Mal Al Khaleeji,BMK Saudi Freestyle Equity Fund Sharia Compliant,135003,19-MAY-19,Equity Funds - Local,BMK Saudi Freestyle Equity Fund,Shari'ah Compliant,The fund manager seeks to achieve long-term capital growth by investing in the Sharia-compliant Saudi stocks of companies listed on the market.,BMK Saudi Equity Sharia Compliant Index,,0,0,0
Saudi Kuwaiti Finance House,Baitk Liquidity Fund,136003,09-JAN-18,Money Market Funds - Saudi Riyal Murabaha,Liquidity Fund,Shari'ah Compliant,Investment in short and medium term money market instruments in Saudi riyals Watt agrees with the criteria of the Shariah Committee.,SIBOR 1 Month Index,,10,7,10452900
MULKIA INVESTMENT COMPANY,Mulkia Alajlan Riviera Fund,137004,29-AUG-21,Real Estate Funds,Mulkia Alajlan Riviera Fund,Shari'ah Compliant,Mulkia Alajlan Riviera Fund is a publicly offered closed-end real estate investment fund established in the Kingdom of Saudi Arabia under the Real Estate Investment Funds Regulations,not applicable,,0,0,0
Musharaka Capital Company,Musharaka Saudi Equity Fund,138001,02-NOV-14,Equity Funds - Local,Saudi Equity Fund,Shari'ah Compliant,The fund aims to achieve capital appreciation in the medium to long term through investing into diversified portfolio of Saudi equities listed on both Tadawul and Nomu markets in addition to investing into the lucrative Initial Public Offering opportunities in the Kingdom.,TASI,,0,0,0
Musharaka Capital Company,Musharaka Murabahat & Sukuk Fund,138003,08-MAR-20,Equity Funds - Local,Murabahat & Sukuk Fund,Shari'ah Compliant,-,SIBID,,0,0,0
Ashmore Investment Saudi Arabia,Ashmore Saudi Equity Fund - Class A,139001,06-JAN-15,Equity Funds - Local,Ashmore Saudi Equity Fund - Class A,-,The fund aims to provide capital growth in the medium to long term by investing in a diversified portfolio of shares of companies listed on the Saudi stock market.,TASI,,0,0,0
Ashmore Investment Saudi Arabia,Ashmore GCC Diversified Trade Fund - Class A,139004,22-MAR-16,Money Market Funds - Saudi Riyal Murabaha,SAGCCMF - A,Shari'ah Compliant,To provide liquidity upon the investors request and to develop the capital by investing in short-term and medium financial instruments,SIBOR 3months,,0,0,0
Ashmore Investment Saudi Arabia,Ashmore Saudi Equity Fund - Class B,139005,19-MAY-22,Equity Funds - Local,Ashmore Saudi Equity Fund - Class B,-,The fund aims to provide capital growth in the medium to long term by investing in a diversified portfolio of shares of companies listed on the Saudi stock market.,TASI,,0,0,0
Ashmore Investment Saudi Arabia,Ashmore GCC Diversified Trade Fund - Class B,139006,22-MAR-16,Money Market Funds - Local,SAGCCMF-B,Shari'ah Compliant,To provide liquidity upon the investors request and to develop the capital by investing in short-term and medium financial instruments,SIBOR 3months,,0,0,0
Arbah Capital,Arbah Daily Liquidity Fund,152004,06-MAY-18,Money Market Funds - Local,Arbah Daily Liquidity Fund,Shari'ah Compliant,aims to proivde Capital growth and liquidity,Sibor + 3 Months,,0,0,0
Al-Khabeer Capital,Alkhabeer Waqf Fund 1,153006,14-JAN-20,Multi - Assets Funds,Waqf Fund 1,Shari'ah Compliant,Development of funds assets by investments in multi assets with the aim of acheiving annual returns to the specific endownments.,AKC Income Generating Assets Income,,10,2,0
SICO Capital Company,SICO Capital Money Market Fund,154003,01-JUN-16,Money Market Funds - Saudi Riyal Murabaha,SICO Money Market Fund,Shari'ah Compliant,The SICO Capital Money Market Fund is an open-ended mutual fund. The principal investment objective of the fund is to invest in Shariah-compliant money market funds placements and other money market instruments in order to maximize medium-term capital growth while preserving the invested capital by investing in Saudi riyals,SAIBOR 1 Month,,0,0,0
SICO Capital Company,SICO Capital GCC Dividend Growth Fund,154004,21-APR-19,Equity Funds - Local,SICO GCC Dividend Growth Fund,Shari'ah Compliant,It is an open public fund that aims to provide dividends and capital appreciation in the long term by investing in a portfolio of dividend growth shares whose profits have grown by a minimum of two years in the Gulf Cooperation Council region,S&P GCC Shariah Composite Index,,0,0,0
Al-Nefaie Investment Group,Comprehensive Equity Fund,155002,15-APR-15,Equity Funds - Local,Comprehensive Equity,Shari'ah Compliant,It aims to develop capital in the long run Medium and long term by investing in shares of companies listed in the financial markets,IdealRatings,,10,21,0
Blominvest Saudi Arabia,BLOM SAUDI ARABIA FUND,156001,14-JUN-11,Equity Funds - Local,BLOM SAUDI ARABIA FUND,-,The objective of the Fund is to generate long-term capital growth primarily through investing in equity securities listed on the Tadawul either directly or through other funds or collective investment schemes established under the laws and regulations of Saudi Arabia with a primary focus on investments in equity securities listed on the Tadawul.,Tadawul All Share Index,,0,0,0
Blominvest Saudi Arabia,Blom MSCI Saudi Arabia Select Min Vol Fund,156004,18-JUL-17,Equity Funds - Local,Blominvol,-,Open-ended investment fund offered for public offering the fund seeks to track the investment results of MSCI Saudi Arabia Domestic IMI Islamic Custom Minimum Volatility Index which is composed of Saudi Sharia Compliant Equities,MSCI IMI Islamic Custom Minimum Volatility Index,,0,0,0
Blominvest Saudi Arabia,BLOM FUND OF REITS FUND,156005,16-APR-18,Equity Funds - Local,BLOM FUND OF REITS FUND,Shari'ah Compliant,The objective of the Fund is to invest the Fund's assets in the listed REIT Units that will be listed on the Saudi Stock Exchange and managed by the Fund Manager or other Fund Managers,Tadawul REITs Index,,0,0,0
Blominvest Saudi Arabia,BLOMINVEST SR MURABAHA FUND,156007,03-OCT-21,Money Market Funds - Saudi Riyal Murabaha,BLOMINVEST SR MURABAHA FUND,Shari'ah Compliant,A general and open-end money market fund with an unlimited term and a public offering. The fund aims to achieve low to medium risk investment returns for the fund unit holders while preserving capital and providing liquidity by investing primarily in murabaha deals and other deals in compatible financial instruments. With Shariah controls low risk and short term. No profits are distributed to unit holders but all profits dividends and revenues are reinvested in the same fund,Sibor 1 month,,0,0,0
